company_sort_id,shareholder_name,shareholder_description,share_percentage,shareholder_tag,,,,
7,HKT Limited,Connecting people with cutting-edge technology and innovative solutions.,15.00%,Technology,,,,
7,PCCW Limited,A leading telecommunications and IT solutions provider in Asia.,10.00%,Technology,,,,
7,Trip.com,Your go-to platform for travel deals and promotions worldwide.,9.02%,E-commerce,,,,
8,"OneConnect Financial Technology Co., Ltd.","A leading technology-as-a-service platform for financial institutions. It is a subsidiary of Ping An Insurance (Group) Company of China, Ltd., one of the largest and most innovative financial services groups in China. OneConnect leverages cutting-edge technologies, including artificial intelligence (AI), cloud computing, blockchain, and big data, to provide comprehensive and integrated solutions to financial institutions.",100.00%,Finance,,,,
9,Funds advised by Sequoia,/,21.85%,Finance,,,,
9,Brightfolk A/S,"A company held by Anders Holch Povlsen. Anders Holch Povlsen is the owner of BESTSELLER which is one of Europe閳ユ�?leading fashion companies, with brands such as JACK & JONES, VERO MODA, ONLY and SELECTED. Beside this, Anders Holch Povlsen has significant holdings in e-commerce fashion sites, e.g. ASOS and Zalando.",10.09%,Finance,,,,
10,Revolut Group Holdings,"The parent company of Revolut, which encompasses a diverse group of shareholders, including both corporate and private investors. This structure allows for a broad base of support and investment in the company閳ユ�?growth.",100.00%,Finance,,,,
11,Guaranty Nominees Limited,/,64.92%,Insurance,,,,
11,Interros,A leading Russian investment group with a diverse portfolio of assets including in banking,35.08%,Finance,,,,
12,Kristo K鐩茬洸rmann,/,18.23%,Individual,,,,
13,HSBC CUSTODY NOMINEES (AUSTRALIA) LIMITED,/,25.15%,Finance,,,,
13,J P MORGAN NOMINEES AUSTRALIA PTY LIMITED,/,14.76%,Finance,,,,
13,CITICORP NOMINEES PTY LIMITED,/,12.01%,Finance,,,,
14,Kris Marszalek,"Co-founder and CEO, instrumental in the company閳ユ�?growth and strategic direction.",/,Individual,,,,
14,Rafael Melo,"Co-founder and CFO, overseeing financial operations and fundraising efforts.",/,Individual,,,,
14,Bobby Bao,"Co-founder, involved in business development and partnerships.",/,Individual,,,,
14,Gary Or,"Co-founder, focusing on product development and user experience.",/,Individual,,,,
14,Matt Damon,"Angel investor and brand ambassador, promoting the platform through various marketing campaigns.",/,Individual,,,,
14,DST Global,"A venture capital firm that invests in internet and technology companies, known for backing high-growth startups.",/,Finance,,,,
14,IDG Capital,"A global investment firm that focuses on technology and media sectors, providing capital for expansion.",/,Finance,,,,
15,"Shenzhen Tencent Domain Computer Network Co., LTD.",/,32.73%,Technology,,,,
15,"Shenzhen Liye Group Co., LTD",/,15.58%,Finance,,,,
15,"Shenzhen Baiyeyuan Investment Co., LTD.",/,15.58%,Finance,,,,
16,Regal Funds Management Pty Ltd.,/,6.19%,Finance,,,,
16,Wilson Asset Management (International) Pty Ltd.,/,4.99%,Finance,,,,
16,Michael Cannon-Brookes,/,4.95%,Finance,,,,
16,Danita R Lowes,/,3.63%,Individual,,,,
16,David Fite,/,3.18%,Individual,,,,
16,Jost Stollmann,/,1.51%,Individual,,,,
16,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,/,0.86%,Finance,,,,
16,UBS Asset Management (Australia) Ltd.,/,0.67%,Finance,,,,
16,Jh 7 Properties Pty Ltd.,/,0.62%,Finance,,,,
16,Kenneth Joseph Hall,/,0.48%,Individual,,,,
17,Grockco Pty Ltd,/,13.72%,Finance,,,,
17,FIL Limited,/,5.96%,Finance,,,,
18,African Rainbow Capital (ARC),"An investment firm focused on various sectors, including financial services, with a strong commitment to promoting economic transformation in South Africa.",57.70%,Finance,,,,
18,Tencent,"A leading Chinese multinational conglomerate known for its diverse investments in technology and internet-related services, contributing to TymeBank閳ユ�?technological advancements.",/,Technology,,,,
18,British International Investment (BII),"The UK閳ユ�?development finance institution that invests in sustainable businesses across Africa and Asia, supporting economic growth and job creation.",/,Finance,,,,
18,Apis Growth Fund II,"A venture capital fund that focuses on financial services and technology investments in emerging markets, aiming to drive innovation and growth.",/,Finance,,,,
18,Gokongwei Group,"A major Philippine conglomerate involved in various sectors, including retail and banking, enhancing TymeBank閳ユ�?operational capabilities.",/,Finance,,,,
18,Norrsken22,"A venture capital firm that invests in technology-driven companies with a focus on creating positive social impact, aligning with TymeBank閳ユ�?mission.",/,Finance,,,,
18,Africa Fig Tree (AFT),"A management investment vehicle that supports various ventures across Africa, contributing to the growth of innovative businesses.",/,Finance,,,,
18,Ethos AI Fund,"A fund dedicated to investing in artificial intelligence and technology sectors, helping TymeBank enhance its digital offerings.",/,Finance,,,,
19,Accel,"A leading venture capital firm that invests in early-stage technology companies, known for its strong portfolio in fintech.",/,Finance,,,,
19,Tencent,"A Chinese multinational conglomerate with significant investments in technology and internet services, contributing to Niyo閳ユ�?growth and innovation.",/,Technology,,,,
19,MGA Ventures,"A family office that invests in various sectors, including technology and financial services, supporting Niyo閳ユ�?expansion.",/,Finance,,,,
19,Spring Marketing Capital,"A venture capital firm that focuses on early-stage investments in technology-driven companies, participating in Niyo閳ユ�?funding rounds.",/,Finance,,,,
19,Prime Venture Partners,"A venture capital firm that invests in early-stage startups, particularly in the fintech space, helping Niyo scale its operations.",/,Finance,,,,
19,Alteria Capital,"A venture debt fund that provides financing to startups, supporting Niyo閳ユ�?growth trajectory.",/,Finance,,,,
20,Bank Negara Indonesia (BNI),"A state-owned bank that plays a significant role in Indonesia閳ユ�?banking sector, providing a range of financial services and supporting Jenius閳ユ�?operations.",/,Finance,,,,
20,Sumitomo Mitsui Banking Corporation (SMBC),"A major Japanese bank that offers a wide array of financial services globally, contributing to Jenius閳ユ�?strategic direction and technological advancements.",/,Finance,,,,
20,Mitsui & Co.,"A diversified Japanese trading company involved in various sectors, including finance, supporting Jenius閳ユ�?growth initiatives.",/,Finance,,,,
21,KAKAO CORP.,/,27.16%,Finance,,,,
21,"KOREA INVESTMENT HOLDINGS CO., LTD.",/,27.16%,Finance,,,,
21,National Pension Service of Korea,/,5.58%,Finance,,,,
21,Morgan Stanley Asia Ltd. (Investment Management),/,1.17%,Finance,,,,
21,KakaoBank Corp. ESOA,/,0.62%,Finance,,,,
21,KAKAOBANK CORP.,/,0.11%,Finance,,,,
21,State Street Global Advisors Ltd.,/,0.09%,Finance,,,,
21,Sjunde AP-fonden,/,0.06%,Individual,,,,
21,Jung-Hee Ko,/,0.03%,Individual,,,,
21,Mercer Global Investments Europe Ltd.,/,0.02%,Finance,,,,
22,Viva Republica,"The parent company of Toss, known for developing the financial super app that offers various services, including payments and banking.",/,Finance,,,,
22,Korea Development Bank (KDB),"A state-owned bank that provides financial support to various sectors, including startups and technology companies, contributing to Toss閳ユ�?growth.",/,Finance,,,,
22,Altos Ventures,"A venture capital firm that invests in technology-driven companies, supporting Toss閳ユ�?expansion and innovation efforts.",/,Finance,,,,
22,Goodwater Capital,"A venture capital firm focused on consumer technology, helping Toss enhance its user experience and service offerings.",/,Finance,,,,
22,Kleiner Perkins,"A prominent venture capital firm that invests in early-stage technology companies, contributing to Toss閳ユ�?funding rounds.",/,Finance,,,,
23,Bain Capital Credit LP,/,9.37%,Finance,,,,
23,FIL Investment Management (Australia) Ltd.,/,9.18%,Finance,,,,
23,GIC Pte Ltd. (Investment Management),/,7.01%,Finance,,,,
23,ECP Asset Management Pty Ltd.,/,4.99%,Finance,,,,
23,UniSuper Management Pty Ltd.,/,4.97%,Finance,,,,
23,Cambooya Pty Ltd.,/,3.46%,Finance,,,,
23,Zhong Yi Investment Pty Ltd.,/,2.94%,Finance,,,,
23,COMPUTERSHARE LIMITED,/,2.92%,Finance,,,,
23,Jgt Family Holdings Pty Ltd.,/,2.60%,Finance,,,,
23,David Hornery,/,1.92%,Individual,,,,
24,Macquarie Group Limited,"The parent company of Macquarie Bank, involved in a diverse range of financial services, including asset management and investment banking.",4.78%,Finance,,,,
24,Macquarie Investment Management Global Ltd.,"A subsidiary focused on investment management, contributing to the bank閳ユ�?asset management capabilities.",1.65%,Finance,,,,
24,State Street Global Advisors Trust Co.,"A leading investment management firm that provides financial services to institutional investors, enhancing Macquarie閳ユ�?investment strategies.",1.06%,Finance,,,,
24,Shemara Wikramanayake,"The CEO of Macquarie Group, known for her leadership in driving the bank閳ユ�?strategic initiatives.",0.86%,Individual,,,,
24,Argo Investments Ltd.,"An investment management firm that holds a diversified portfolio, contributing to Macquarie閳ユ�?shareholder base.",0.69%,Finance,,,,
24,Commonwealth Superannuation Corporation,"An investment management firm that manages superannuation funds for Australian government employees, supporting Macquarie閳ユ�?financial services.",0.67%,Finance,,,,
24,Australian Foundation Investment Company Ltd.,"An investment management company that invests in a diversified portfolio, enhancing Macquarie閳ユ�?shareholder diversity.",0.59%,Finance,,,,
24,Netwealth Investments Ltd.,"A financial services company that provides investment and superannuation solutions, contributing to Macquarie閳ユ�?investment strategies.",0.55%,Finance,,,,
25,Open Financial Technologies,"The parent company of Open, known for providing digital banking solutions and financial services tailored for businesses.",/,Finance,,,,
25,Tiger Global Management,"A prominent investment firm that focuses on technology and internet companies, supporting Open閳ユ�?growth and innovation.",/,Finance,,,,
25,Sequoia Capital,"A leading venture capital firm that invests in early-stage technology companies, contributing to Open閳ユ�?funding rounds.",/,Finance,,,,
25,Matrix Partners India,"A venture capital firm that focuses on early-stage investments in technology-driven companies, helping Open expand its market presence.",/,Finance,,,,
25,Kunal Shah,"The founder of CRED and an influential figure in the Indian fintech space, known for his strategic insights and investments.",/,Individual,,,,
26,HSBC CUSTODY NOMINEES (AUSTRALIA) LIMITED,/,27.33%,Finance,,,,
26,JP MORGAN NOMINEES AUSTRALIA PTY LIMITED,/,18.73%,Finance,,,,
27,SK Group,"A major South Korean conglomerate that invests in various sectors, including technology and telecommunications, supporting BigPay閳ユ�?growth and innovation.",/,Finance,,,,
27,BigPay Sdn Bhd,"The parent company of BigPay, focused on providing digital financial services and solutions to consumers in Southeast Asia.",/,Finance,,,,
27,Tony Fernandes,"The co-founder of AirAsia and a prominent figure in the aviation industry, known for his investments in technology and fintech.",/,Individual,,,,
28,Australian Finance Group,"A leading mortgage aggregator in Australia, providing financial services and support to brokers, contributing to Volt Bank閳ユ�?growth.",/,Finance,,,,
28,KTM Ventures Innovation Fund,"A venture capital fund that invests in innovative technology companies, supporting Volt Bank閳ユ�?mission to disrupt traditional banking.",/,Finance,,,,
28,Luke Bunbury,"Co-founder of Volt Bank, known for his role in driving the bank閳ユ�?strategic initiatives and innovation in the fintech space.",/,Individual,,,,
29,"PayPal Holdings, Inc.","Acquired Paidy in 2021 for approximately �?00 billion, enhancing its presence in Japan閳ユ�?buy now, pay later market.",/,Finance,,,,
29,Lee Smith,"Co-founder of Paidy, known for his role in developing the company閳ユ�?innovative payment solutions tailored for the Japanese market.",/,Individual,,,,
29,Russell Cummer,"Co-founder and executive chairman of Paidy, instrumental in driving the company閳ユ�?strategic vision and growth.",/,Individual,,,,
29,"MUFG Bank, Ltd.","A major Japanese bank that was involved in Paidy閳ユ�?earlier funding rounds, supporting its growth in the fintech sector.",/,Finance,,,,
30,Korn Ferry,"A global organizational consulting firm that acquired Hay Group, enhancing its capabilities in people strategy and organizational performance.",/,Finance,,,,
30,Stephen Kaye,"The CEO of Hay Group, known for his leadership in driving the company閳ユ�?strategic initiatives and enhancing its consulting services.",/,Individual,,,,
30,Mette and Rolf Hay,"Co-founders of Hay, actively involved in product design and development, contributing to the brand閳ユ�?innovative approach in the furniture industry.",/,Individual,,,,
31,Tiger Global Management,"A prominent investment firm that led FairMoney閳ユ�?$42 million Series B funding round, supporting its growth as a credit-led neobank in Nigeria.",/,Finance,,,,
31,DST Global,"A global investment firm known for backing technology-driven companies, participating in FairMoney閳ユ�?Series A funding round.",/,Finance,,,,
31,Flourish Ventures,"A venture capital firm that invests in fintech companies, contributing to FairMoney閳ユ�?funding rounds to enhance its service offerings.",/,Finance,,,,
31,Newfund,"A venture capital firm focused on early-stage investments, supporting FairMoney閳ユ�?mission to provide accessible financial services.",/,Finance,,,,
31,Matthieu Gendreau,"Co-founder of FairMoney, instrumental in developing the company閳ユ�?innovative financial solutions tailored for the Nigerian market.",/,Individual,,,,
31,Laurin Hainy,"Co-founder and CEO of FairMoney, known for his leadership in expanding the company閳ユ�?services and user base.",/,Individual,,,,
32,Mario Gaw,"Co-founder of Cashbac, known for his role in developing the platform that offers rewards for various products and services in Indonesia.",/,Individual,,,,
32,Cashbac,"The parent company that operates a marketing application providing rewards and promotions for partnered merchants, enhancing customer engagement.",/,Finance,,,,
33,Smart Axiata Co Ltd,"A leading telecommunications service provider in Cambodia, which completed a merger with Pi Pay to enhance its digital payment capabilities.",/,Telecom,,,,
33,Tomas Pokorny,"Co-founder and CEO of Pi Pay, known for his leadership in driving the company閳ユ�?growth and innovation in the cashless payment sector.",/,Individual,,,,
33,Tommy Lim,"Co-founder of Pi Pay, instrumental in developing the platform閳ユ�?features and expanding its user base in Cambodia.",/,Individual,,,,
34,Sharesies Limited,"The parent company that operates the Sharesies platform, providing a way for individuals to invest in various assets, including stocks and ETFs.",/,Finance,,,,
34,Megan McFarlane,"Co-founder of Sharesies, known for her role in shaping the company閳ユ�?vision and expanding its user base in New Zealand.",/,Individual,,,,
34,Sonya Williams,"Co-founder and CEO of Sharesies, recognized for her leadership in making investing accessible to everyday New Zealanders.",/,Individual,,,,
34,KPMG,"The auditing firm that conducts annual audits for Sharesies, ensuring compliance and transparency in its operations.",/,Accounting,,,,
35,National Australia Bank (NAB),Acquired 86 400 to enhance its digital banking capabilities and integrate it with UBank. NAB initially held an approximate shareholding of 18.3% before the acquisition.,100.00%,Finance,,,,
36,Sequoia Capital India,"A leading venture capital firm that invests in high-growth technology companies, known for its strong portfolio in fintech.",/,Finance,,,,
36,Insight Partners,"A global venture capital and private equity firm investing in high-growth technology and software companies, focusing on transformative change in their industries.",/,Finance,,,,
36,Insignia Ventures Partners,"A venture capital firm that invests in early-stage technology companies in Southeast Asia, supporting innovative startups like Flip.",/,Finance,,,,
37,Lightspeed Venture Partners,"A prominent venture capital firm that invests in early-stage technology companies, known for its strong portfolio in fintech.",/,Finance,,,,
37,Insignia Ventures Partners,"A venture capital firm focused on early-stage investments in Southeast Asia, supporting innovative startups like YouTrip.",/,Finance,,,,
38,Ribbit Capital,"A U.S.-based venture capital firm that invests in early-stage startups, particularly in the fintech sector, supporting Chipper Cash閳ユ�?growth and expansion across Africa.",/,Finance,,,,
38,Jeff Bezos (Bezos Expeditions),"The personal venture capital fund of Amazon founder Jeff Bezos, which invests in innovative companies, providing significant backing to Chipper Cash.",/,Finance,,,,
38,Deciens Capital,"A venture capital firm that focuses on early-stage investments in technology companies, contributing to Chipper Cash閳ユ�?funding rounds.",/,Finance,,,,
39,Kaleden Holdings,"An investment firm that focuses on technology and financial services, supporting InstantPay閳ユ�?growth in the digital payment sector.",/,Finance,,,,
39,RB Investments Pte. Ltd.,"A private investment firm that invests in innovative companies, contributing to InstantPay閳ユ�?funding and strategic initiatives.",/,Finance,,,,
40,Rapyd,"A global Fintech-as-a-Service company that recently acquired Neat, enhancing its capabilities in cross-border trade and financial services for SMBs.",/,Finance,,,,
40,Dymon Asia,"An investment firm focused on the Asia-Pacific region, supporting innovative financial technology companies like Neat.",/,Finance,,,,
40,Visa,A global payments technology company that partners with Neat to enhance its payment solutions and services.,/,Finance,,,,
41,Babs Ogundeyi,"Co-founder and CEO of Kuda, instrumental in its growth and strategic direction, focusing on providing accessible banking solutions in Nigeria.",/,Individual,,,,
41,Musty Mustapha,"Co-founder and CTO, responsible for the technological development and innovation at Kuda, ensuring a seamless user experience.",/,Individual,,,,
41,Valar Ventures,"A venture capital firm co-founded by Peter Thiel, which invested in Kuda閳ユ�?Series A funding round, supporting its expansion in the fintech space.",/,Finance,,,,
41,Target Global,"A venture capital firm that led Kuda閳ユ�?seed funding round, focusing on technology-driven companies in emerging markets.",/,Finance,,,,
42,Eric Wilson,"Co-founder and CEO of Xinja, instrumental in its establishment and strategic direction, focusing on providing innovative banking solutions.",/,Individual,,,,
42,World Investments,"A Dubai-based investment firm that agreed to invest A$433 million in Xinja Bank, although complications from the COVID-19 pandemic affected this deal.",/,Finance,,,,
42,Crowdfunded Investors,"Xinja was the first startup in Australia to utilize equity crowdfunding, raising significant capital from individual investors.",/,Finance,,,,
43,Amit Vijay Rajpal,/,27.12%,Individual,,,,
43,Jayashree Makarand Patankar,/,7.64%,Individual,,,,
43,Kela Madhuri Madhusudan,/,4.55%,Individual,,,,
43,Debiprasad Sarangi,/,4.14%,Individual,,,,
43,Alchemy Capital Management Pvt Ltd.,/,2.02%,Finance,,,,
43,Amee Parikh,/,1.13%,Individual,,,,
43,Anil Bang,/,1.00%,Individual,,,,
44,Andrew Moore,"Co-founder and CEO of Spaceship, with over 25 years of experience in financial services, focusing on transforming investment accessibility.",/,Individual,,,,
44,Grok Ventures,"The investment firm of Mike and Annie Cannon-Brookes, which has supported Spaceship in its funding rounds, contributing to its growth in the fintech space.",/,Finance,,,,
44,AirTree Ventures,"A venture capital firm that invests in technology-driven companies, participating in Spaceship閳ユ�?funding rounds to help expand its offerings.",/,Finance,,,,
45,"The Vanguard Group, Inc.",/,4.98%,Finance,,,,
45,BlackRock Investment Management (Australia) Ltd.,/,1.58%,Finance,,,,
45,BlackRock Fund Advisors,/,1.15%,Individual,,,,
45,Franklin Templeton Australia Ltd.,/,1.06%,Finance,,,,
45,BlackRock Asset Management Deutschland AG,/,0.88%,Finance,,,,
45,State Street Global Advisors Trust Co.,/,0.69%,Finance,,,,
45,Commonwealth Superannuation Corp. (Investment Management),/,0.64%,Finance,,,,
45,BetaShares Capital Ltd.,/,0.64%,Finance,,,,
45,BlackRock Institutional Trust Co. NA,/,0.61%,Finance,,,,
45,Netwealth Investments Ltd.,/,0.44%,Finance,,,,
46,Square Peg Capital,"A leading global venture capital firm that led Timo閳ユ�?recent funding round, focusing on empowering exceptional founders in the fintech space.",/,Finance,,,,
46,Jungle Ventures,"A venture capital firm that invests in technology-driven companies in Southeast Asia, participating in Timo閳ユ�?funding rounds to support its growth.",/,Finance,,,,
46,Granite Oak,"An investment firm that focuses on supporting innovative financial services, contributing to Timo閳ユ�?funding efforts.",/,Finance,,,,
46,FinAccel,"A fintech company that has invested in Timo, enhancing its capabilities in the digital banking sector.",/,Finance,,,,
46,Phoenix Holdings,"An existing investor that has supported Timo in its growth journey, focusing on innovative banking solutions.",/,Finance,,,,
47,Shinichi Takatori,"Founder and CEO of Kyash, leading the company閳ユ�?vision to provide innovative mobile banking solutions in Japan.",/,Individual,,,,
47,"Block, Inc.",A financial services and mobile payment company that invested in Kyash to support its growth and expansion in the fintech sector.,/,Finance,,,,
47,Japan Post Investment,"A government-backed investment firm that focuses on supporting innovative companies in Japan, contributing to Kyash閳ユ�?funding rounds.",/,Finance,,,,
47,SMBC Nikko Securities,"A major Japanese securities firm that has invested in Kyash, enhancing its financial capabilities.",/,Finance,,,,
47,Sumitomo Mitsui Marine Capital,"A venture capital firm that invests in technology and financial services, supporting Kyash閳ユ�?growth initiatives.",/,Finance,,,,
48,Commonwealth Bank of Australia,"One of Australia閳ユ�?largest banks, involved in the establishment of Beem It to enhance digital payment solutions for customers.",/,Finance,,,,
48,National Australia Bank,"A major financial institution in Australia that co-founded Beem It, focusing on peer-to-peer payment solutions.",/,Finance,,,,
48,Westpac Banking Corporation,"Another leading bank in Australia that helped establish Beem It, aiming to provide innovative payment services.",/,Finance,,,,
48,eftpos Payments Australia,"The parent company that acquired Beem It in November 2020, focusing on expanding its digital wallet capabilities.",/,Finance,,,,
49,Simon Loong,"Co-founder and CEO of WeLend, leading the company閳ユ�?vision to provide innovative online lending solutions in Hong Kong.",/,Individual,,,,
49,CK Hutchison閳ユ�?TOM Group,"A major investor in WeLend, supporting its growth in the fintech sector.",/,Finance,,,,
49,Sequoia Capital,"A prominent venture capital firm that has invested in WeLend, focusing on technology-driven financial services.",/,Finance,,,,
49,Khazanah Nasional Berhad,"The Malaysian sovereign wealth fund that has backed WeLend, contributing to its funding rounds.",/,Finance,,,,
49,International Finance Corporation (IFC),"A member of the World Bank Group that invests in private sector projects, supporting WeLend閳ユ�?mission.",/,Finance,,,,
50,Sony Financial Holdings,/,100.00%,Finance,,,,
51,B鑼卆trice Ozanne,"Co-founder and Chief Operating Officer of Statrys, focusing on providing innovative financial solutions for businesses in Hong Kong.",/,Individual,,,,
51,Bertrand Theaud,"Co-founder and CEO of Statrys, leading the company閳ユ�?strategic direction and growth in the fintech sector.",/,Individual,,,,
52,Bhagaban Behera,"Co-founder and CEO of Walrus, leading the company閳ユ�?mission to provide innovative banking solutions for teenagers in India.",14.30%,Individual,,,,
52,Sriharsha Setty,"Co-founder and a key figure in developing Walrus閳ユ�?platform, focusing on enhancing user experience and engagement.",14.30%,Individual,,,,
52,Nakul Kelkar,"Co-founder involved in the strategic direction and growth of Walrus, contributing to its innovative approach in the fintech space.",14.30%,Individual,,,,
52,Y Combinator,"A well-known startup accelerator that has invested in Walrus, supporting its growth and development in the fintech sector.",7.97%,Finance,,,,
53,Tobie Van Zyl,"Co-founder and a key figure in Bettr閳ユ�?development, focusing on creating accessible banking solutions for the youth in South Africa.",/,Individual,,,,
53,Angus Brown,"Co-founder involved in the strategic direction of Bettr, aiming to empower young people with financial tools.",/,Individual,,,,
53,Andrzej Stempowski,"Co-founder and part of the leadership team, contributing to Bettr閳ユ�?innovative approach in the fintech space.",/,Individual,,,,
53,Dinika Govender,Co-founder focused on enhancing user experience and engagement within the platform.,/,Individual,,,,
53,Grant Hinds,"Co-founder and influencer, advocating for Bettr閳ユ�?mission to transform financial access for creators.",/,Individual,,,,
53,Collab2,"An investment firm that has backed Bettr, supporting its growth in the fintech sector.",/,Finance,,,,
53,R-Ventures,"Another investor that has contributed to Bettr閳ユ�?funding, focusing on innovative financial solutions.",/,Finance,,,,
54,KDDI Corporation,"A major telecommunications company in Japan that holds a significant stake in Jibun Bank, enhancing its digital banking capabilities.",63.78%,Telecom,,,,
54,Mitsubishi UFJ Financial Group (MUFG),"One of Japan閳ユ�?largest financial groups, which co-founded Jibun Bank and provides extensive financial expertise.",36.22%,Finance,,,,
55,Ant Financial Services,"Ant Financial, an affiliate of Alibaba, focuses on providing inclusive financial services and leveraging technology to enhance banking solutions. ",30.00%,Finance,,,,
55,Fosun Group,"This Shanghai-based conglomerate is involved in various sectors, including steel, leisure, and insurance, and supports MyBank閳ユ�?growth in the digital banking space.",25.00%,Finance,,,,
56,Temasek Holdings,"Temasek is Singapore閳ユ�?sovereign wealth fund, focusing on long-term investments in various sectors, including financial services.",29.00%,Finance,,,,
56,Maju Holdings Pte. Ltd.,"A wholly-owned subsidiary of Temasek, holding a significant stake in DBS Bank.",/,Finance,,,,
57,Z HOLDINGS CORPORATION,/,65.84%,Finance,,,,
57,"FUBON FINANCIAL HOLDING CO., LTD.",/,19.51%,Finance,,,,
58,National Pension Service of Korea,/,8.23%,Finance,,,,
58,NAVER CORPORATION,/,7.26%,Finance,,,,
58,Hae-Jin Lee,/,3.74%,Individual,,,,
58,MFS International (UK) Ltd.,/,0.71%,Finance,,,,
58,Morgan Stanley Asia Ltd. (Investment Management),/,0.53%,Finance,,,,
58,"CJ ENM CO., LTD.",/,0.32%,Finance,,,,
58,E-MART INC.,/,0.24%,Finance,,,,
58,State Street Global Advisors Ltd.,/,0.19%,Finance,,,,
58,SHINSEGAE INC.,/,0.16%,Finance,,,,
58,Sjunde AP-fonden,/,0.15%,Individual,,,,
59,United Overseas Bank (UOB),"The primary shareholder and parent company of TMRW, UOB is a leading bank in Southeast Asia that launched TMRW as a digital banking platform aimed at millennials and tech-savvy customers.",100.00%,Finance,,,,
60,Somtochukwu Ifezue,"Co-founder and CEO of PiggyVest, leading the company閳ユ�?mission to provide innovative savings solutions for Nigerians.",/,Individual,,,,
60,Nonso Eagle,"Co-founder and Chief Creative Officer, focusing on the platform閳ユ�?design and user experience.",/,Individual,,,,
60,Joshua Chibueze,"Co-founder and Chief Marketing Officer, responsible for marketing strategies and outreach.",/,Individual,,,,
60,Voltron Capital,"A venture capital firm that has invested in PiggyVest, supporting its growth in the fintech sector.",/,Finance,,,,
60,Flutterwave,"A prominent fintech company that has also invested in PiggyVest, enhancing its financial capabilities.",/,Finance,,,,
60,Village Capital,"An investment firm that focuses on supporting innovative startups, including PiggyVest.",/,Finance,,,,
